3.05,57.22,79.93,-1.59
3.066,57.19,79.89,-1.65
3.084,57.18,79.86,-1.72
3.1,57.1,79.82,-1.8
3.116,57,79.78,-1.9
3.133,56.85,79.73,-2
3.15,56.67,79.69,-2.08
3.166,56.48,79.62,-2.15
3.184,56.29,79.53,-2.2
3.2,56.05,79.45,-2.24
3.217,55.77,79.36,-2.26
3.234,55.58,79.3,-2.25
3.251,55.44,79.26,-2.21
3.267,55.41,79.23,-2.16
3.284,55.4,79.23,-2.1
3.3,55.46,79.25,-2.04
3.317,55.53,79.27,-2
3.333,55.61,79.29,-1.95
3.35,55.68,79.31,-1.88
3.366,55.73,79.32,-1.83
3.384,55.83,79.34,-1.79
3.4,55.9,79.36,-1.76
3.416,55.93,79.38,-1.74
3.433,55.91,79.38,-1.72
3.451,55.89,79.38,-1.72
3.467,55.85,79.39,-1.73
3.483,55.84,79.38,-1.76
3.5,55.86,79.38,-1.79
3.517,55.95,79.41,-1.81
3.533,56.02,79.43,-1.82
3.551,56.06,79.46,-1.85
3.567,56.12,79.5,-1.87
3.584,56.15,79.52,-1.89
3.6,56.15,79.53,-1.9
3.617,56.08,79.52,-1.89
3.634,55.98,79.49,-1.87
3.651,55.79,79.44,-1.85
3.667,55.64,79.4,-1.82
3.684,55.66,79.41,-1.8
3.7,55.81,79.46,-1.78
3.717,55.98,79.53,-1.76
3.733,56.24,79.63,-1.72
3.75,56.47,79.69,-1.72
3.766,56.58,79.72,-1.76
3.783,56.57,79.73,-1.82
3.8,56.48,79.68,-1.89
3.816,56.28,79.58,-1.95
3.833,55.91,79.41,-2
3.851,55.54,79.24,-2.01
3.867,55.35,79.11,-2.01
3.884,55.49,79.05,-2.02
3.9,55.86,79.08,-2.08
3.917,56.37,79.18,-2.17
3.934,56.86,79.3,-2.27
3.95,57.24,79.41,-2.36
3.966,57.36,79.46,-2.47
3.984,57.29,79.46,-2.62
4,57.16,79.42,-2.84
4.017,57.01,79.36,-3.04
4.034,56.99,79.36,-3.11
4.05,57.26,79.42,-3.07
4.067,57.73,79.55,-3.01
4.083,58.18,79.71,-2.95
4.1,58.5,79.84,-2.93
4.116,58.6,79.92,-2.93
4.134,58.52,79.95,-2.93
4.151,58.42,79.95,-2.9
4.167,58.49,79.97,-2.83
4.184,58.71,80.03,-2.71
4.2,58.97,80.1,-2.55
4.217,59.3,80.19,-2.4
4.234,59.85,80.31,-2.31
4.25,60.51,80.46,-2.24
4.267,61.17,80.63,-2.13
4.283,61.71,80.78,-1.96
4.301,62.15,80.88,-1.73
4.316,62.47,80.91,-1.49
4.334,62.67,80.92,-1.3
4.35,62.74,80.92,-1.2
4.366,62.82,80.94,-1.16
4.384,63.03,81.03,-1.16
4.4,63.28,81.14,-1.18
4.416,63.38,81.19,-1.24
4.434,63.22,81.17,-1.34
4.45,62.89,81.1,-1.49
4.467,62.51,81.01,-1.66
4.484,62.09,80.89,-1.81
4.5,61.72,80.77,-1.84
4.517,61.39,80.62,-1.73
4.533,61.24,80.5,-1.52
4.55,61.31,80.45,-1.26
4.567,61.47,80.45,-1
4.584,61.61,80.49,-0.81
4.6,61.66,80.54,-0.65
4.617,61.52,80.49,-0.49
4.634,61.21,80.35,-0.25
4.651,60.93,80.18,0.07
4.667,60.76,79.97,0.46
4.684,60.67,79.78,0.88
4.701,60.75,79.65,1.27
4.717,60.84,79.55,1.59
4.735,60.85,79.45,1.83
4.751,60.98,79.39,2.05
4.767,61.36,79.4,2.25
4.783,61.84,79.44,2.43
4.8,62.28,79.46,2.59
4.816,62.75,79.51,2.69
4.833,63.32,79.61,2.72
4.85,63.91,79.72,2.71
4.866,64.27,79.75,2.69
4.883,64.06,79.58,2.69
4.9,63.1,79.14,2.71
4.916,61.7,78.55,2.74
4.933,60.37,77.99,2.72
4.951,59.41,77.6,2.59
4.967,58.71,77.31,2.36
4.984,58,77.05,2.12
5.001,57.32,76.83,1.92
5.017,56.89,76.74,1.71
5.034,56.88,76.86,1.45
5.05,57.15,77.09,1.16
5.067,57.44,77.32,0.91
5.083,57.31,77.42,0.69
5.1,56.49,77.31,0.46
5.117,55.03,76.98,0.17
5.133,53.41,76.59,-0.15
5.15,52.15,76.25,-0.43
5.166,51.38,75.99,-0.6
5.183,50.98,75.81,-0.68
5.201,50.54,75.62,-0.69
5.217,49.51,75.33,-0.7
5.234,48.01,74.89,-0.7
5.25,46.28,74.24,-0.72
5.266,44.79,73.55,-0.73
5.283,44.15,73.11,-0.75
5.3,44.46,73.05,-0.75
5.316,45.15,73.25,-0.62
5.333,45.36,73.38,-0.41
5.35,44.77,73.23,-0.22
5.366,43.95,72.87,-0.13
5.383,43.45,72.5,-0.12
5.401,43.23,72.28,-0.16
5.417,43.04,72.22,-0.24
5.434,42.73,72.13,-0.45
5.451,42.11,71.96,-0.84
5.467,41.4,71.8,-1.27
5.484,41.07,71.83,-1.61
5.501,41.32,72.07,-1.83
5.517,42.01,72.42,-1.92
5.534,42.75,72.78,-1.89
5.552,43.19,73.1,-1.78
5.567,43.5,73.44,-1.59
5.584,44.07,73.84,-1.41
5.601,44.7,74.31,-1.26
5.617,44.94,74.72,-1.23
5.634,44.61,74.95,-1.37
5.65,43.9,74.99,-1.71
5.668,43.16,74.87,-2.17
5.684,42.48,74.68,-2.59
5.701,41.5,74.44,-2.86
5.717,39.71,73.97,-3
5.734,36.85,73.07,-3.07
5.75,33.31,71.8,-3.06
5.767,30.23,70.51,-2.92
5.785,28.43,69.51,-2.65
5.8,26.99,68.63,-2.19
5.817,25.06,67.55,-1.59
5.835,23.08,66.15,-1.11
5.85,21.49,64.48,-0.94
5.867,20.24,62.72,-1.04
5.884,19.21,60.95,-1.37
5.9,17.9,58.95,-1.78
5.916,16.01,56.64,-2.03
5.933,13.81,54.18,-2.01
5.951,11.94,51.87,-1.81
5.967,10.81,49.91,-1.66
5.984,10.25,48.25,-1.71
6.001,9.64,46.8,-1.74
6.017,8.75,45.58,-1.57
6.034,7.93,44.74,-1.41
6.051,7.47,44.22,-1.36
6.067,7.26,43.68,-1.31
6.084,7.01,43.03,-1.09
6.102,6.74,42.4,-0.7
6.117,6.71,41.8,-0.5
6.134,6.75,41.19,-0.62
6.15,6.52,40.74,-0.79
6.167,6.09,40.75,-0.76
6.183,5.82,41.34,-0.74
6.2,5.88,42.6,-0.91
6.216,5.78,44.55,-0.92
6.233,5.28,46.96,-0.48
6.251,4.79,49.55,0.31
6.267,4.65,52.09,1.44
6.285,5.03,54.53,3.19
6.301,5.95,56.77,5.65
6.317,7.22,58.48,8.81
6.334,8.61,59.26,12.44
6.35,9.61,59.14,16.1
6.367,10.59,58.33,19.55
6.384,12.33,56.96,22.69
6.4,14.91,55.27,25.53
6.416,17.7,53.56,28.11
6.433,20.41,52.11,30.29
6.45,23.11,51.05,32
6.467,25.88,50.2,33.42
6.484,29.69,49.16,34.85
6.5,33.99,47.96,36.34
6.516,37.47,46.8,37.86
6.534,40.07,45.83,39.2
6.55,42.22,45.11,40.22
6.568,44.8,44.59,40.96
6.584,48.94,44.23,41.54
6.601,54.6,44.09,42
6.617,61.39,44.1,42.33
6.634,68.14,44.2,42.53
6.651,73.76,44.36,42.63
6.667,78.02,44.51,42.69
6.684,81.25,44.49,42.83
6.701,84.16,44.27,43.13
6.717,86.79,44.04,43.45
6.734,88.92,43.82,43.71
6.75,90.56,43.59,43.9
6.767,91.91,43.38,44.07
6.785,93.51,43.25,44.2
6.801,95.3,43.34,44.15
6.817,96.74,43.65,43.86
6.834,97.52,44.05,43.46
6.85,97.79,44.53,42.97
6.867,97.89,45.19,42.27
6.884,97.94,46.22,41.2
6.9,97.94,47.7,39.76
6.917,97.8,49.53,38.02
6.933,97.09,51.7,35.9
6.95,95.97,54.15,33.44
6.967,94.89,56.8,30.77
6.984,94.02,59.59,28.01
7,93.19,62.46,25.19
7.016,91.96,65.51,22.15
7.033,89.8,68.6,18.94
7.05,86.97,71.42,15.79
7.068,84.06,73.62,13.06
7.084,81.58,75.28,10.75
7.1,79.48,76.66,8.62
7.117,77.84,77.7,6.76
7.134,76.56,78.46,5.18
7.15,75.36,79,3.79
7.167,74.15,79.42,2.37
7.184,72.78,79.73,0.53
7.201,70.97,79.64,-1.86
7.217,68.92,78.94,-4.42
7.234,67.04,77.85,-6.8
7.251,65.7,76.74,-8.84
7.267,64.63,75.61,-10.8
7.284,63.48,74.22,-12.97
7.3,62.26,72.55,-15.29
7.317,61.21,70.91,-17.44
7.334,60.69,69.51,-19.26
7.35,60.7,68.37,-20.77
7.368,60.9,67.33,-22.11
7.384,60.88,66.12,-23.54
7.4,60.44,64.63,-25.17
7.417,59.75,63.02,-26.87
7.434,59.18,61.48,-28.46
7.45,58.58,59.93,-30.06
7.467,57.95,58.32,-31.68
7.484,57.3,56.66,-33.33
7.5,56.6,55.04,-34.94
