time,red,green,blue,green2,blue2,orange
19:05:07,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:08,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:09,12.121412,24.768095,40.755378,27.588708,16.331829,5.843728
19:05:10,13.599994,24.768095,39.180831,29.126476,16.331829,5.843728
19:05:11,13.599994,24.768095,40.755378,29.126476,16.331829,7.339431
19:05:12,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:13,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:14,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:15,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:16,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:17,12.121412,24.768095,40.755378,29.126476,14.849655,7.339431
19:05:18,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:19,12.121412,24.768095,40.755378,27.588708,16.331829,5.843728
19:05:20,13.599994,24.768095,40.755378,29.126476,14.849655,5.843728
19:05:21,12.121412,24.768095,39.180831,29.126476,16.331829,7.339431
19:05:22,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:23,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:24,13.599994,24.768095,40.755378,29.126476,14.849655,7.339431
19:05:25,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:26,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:27,12.121412,24.768095,40.755378,29.126476,16.331829,7.339431
19:05:28,12.121412,24.768095,40.755378,27.588708,16.331829,5.843728
19:05:29,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:30,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:31,12.121412,24.768095,40.755378,29.126476,14.849655,5.843728
19:05:32,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:33,13.599994,26.302268,40.755378,27.588708,16.331829,5.843728
19:05:34,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:35,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:36,12.121412,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:37,13.599994,24.768095,40.755378,29.126476,16.331829,5.843728
19:05:38,12.121412,26.302268,40.755378,29.126476,16.331829,5.843728
19:05:39,13.599994,24.768095,40.755378,27.588708,17.817598,5.843728
19:05:40,12.121412,26.302268,40.755378,29.126476,16.331829,7.339431
19:05:41,13.599994,26.302268,40.755378,29.126476,17.817598,7.339431
19:05:42,13.599994,26.302268,40.755378,29.126476,17.817598,7.339431
19:05:43,12.121412,26.302268,40.755378,29.126476,17.817598,7.339431
19:05:44,13.599994,26.302268,40.755378,29.126476,17.817598,7.339431
19:05:45,13.599994,26.302268,40.755378,29.126476,19.306959,7.339431
19:05:46,13.599994,26.302268,40.755378,29.126476,17.817598,7.339431
19:05:47,13.599994,26.302268,40.755378,29.126476,19.306959,7.339431
19:05:48,13.599994,26.302268,40.755378,29.126476,19.306959,7.339431
19:05:50,13.599994,26.302268,40.755378,29.126476,19.306959,7.339431
19:05:51,7.707861,20.189882,34.481498,22.999504,13.371284,1.378812
19:05:52,13.599994,26.302268,37.610301,26.054958,14.849655,1.378812
19:05:53,30.113183,43.440711,56.731460,46.306137,35.942962,24.050046
19:05:54,30.113183,43.440711,58.352512,46.306137,35.942962,24.050046
19:05:55,28.592750,41.862361,56.731460,44.723983,35.942962,22.511222
19:05:56,28.592750,43.440711,56.731460,44.723983,35.942962,24.050046
19:05:57,31.637212,45.023292,59.977790,47.892524,39.018074,25.592676
19:05:58,31.637212,45.023292,58.352512,47.892524,39.018074,25.592676
19:05:59,31.637212,46.610099,58.352512,47.892524,39.018074,25.592676
19:06:00,31.637212,45.023292,58.352512,47.892524,40.561546,25.592676
19:06:01,31.637212,45.023292,58.352512,47.892524,40.561546,25.592676
19:06:02,31.637212,45.023292,58.352512,47.892524,40.561546,25.592676
19:06:03,31.637212,45.023292,58.352512,47.892524,40.561546,25.592676
19:06:04,31.637212,46.610099,58.352512,47.892524,40.561546,25.592676
19:06:05,31.637212,46.610099,58.352512,47.892524,40.561546,25.592676
19:06:06,31.637212,45.023292,58.352512,47.892524,40.561546,25.592676
19:06:07,31.637212,46.610099,58.352512,47.892524,40.561546,25.592676
19:06:08,31.637212,46.610099,58.352512,47.892524,40.561546,25.592676
19:06:09,31.637212,46.610099,58.352512,47.892524,42.109039,25.592676
19:06:10,31.637212,46.610099,58.352512,47.892524,42.109039,25.592676
19:06:11,31.637212,46.610099,58.352512,47.892524,42.109039,25.592676
19:06:12,31.637212,46.610099,58.352512,47.892524,42.109039,25.592676
19:06:13,31.637212,46.610099,58.352512,47.892524,42.109039,25.592676
19:06:14,31.637212,46.610099,58.352512,47.892524,42.109039,25.592676
19:06:15,31.637212,46.610099,58.352512,47.892524,43.660545,25.592676
19:06:16,31.637212,46.610099,58.352512,47.892524,43.660545,25.592676
19:06:17,31.637212,46.610099,58.352512,47.892524,43.660545,25.592676
19:06:18,31.637212,46.610099,58.352512,46.306137,43.660545,25.592676
19:06:19,31.637212,46.610099,58.352512,47.892524,43.660545,25.592676
19:06:20,31.637212,46.610099,58.352512,47.892524,43.660545,25.592676
19:06:21,37.773063,52.998966,64.879829,52.676616,49.906311,31.804199
19:06:22,37.773063,54.606700,66.522445,54.279911,51.478111,33.367122
19:06:23,39.316749,54.606700,66.522445,54.279911,51.478111,33.367122
19:06:24,1.874279,18.671560,29.818946,18.445598,16.331829,-3.052283
19:06:25,6.243864,21.712219,32.923229,21.477590,20.800338,1.378812
19:06:26,6.243864,21.712219,34.481498,22.999504,20.800338,1.378812
19:06:27,7.707861,23.238149,34.481498,24.525434,22.297309,2.863312
19:06:28,9.175240,24.768095,36.043788,24.525434,23.798297,2.863312
19:06:29,9.175240,24.768095,36.043788,24.525434,23.798297,2.863312
19:06:30,6.243864,21.712219,34.481498,22.999504,22.297309,1.378812
19:06:31,7.707861,23.238149,34.481498,24.525434,22.297309,2.863312
19:06:32,7.707861,24.768095,36.043788,24.525434,23.798297,2.863312
19:06:33,7.707861,23.238149,36.043788,24.525434,23.798297,2.863312
19:06:34,7.707861,24.768095,36.043788,24.525434,25.302879,2.863312
19:06:35,7.707861,24.768095,36.043788,24.525434,25.302879,2.863312
19:06:36,7.707861,24.768095,36.043788,24.525434,25.302879,2.863312
19:06:37,9.175240,24.768095,36.043788,24.525434,25.302879,2.863312
19:06:38,7.707861,24.768095,34.481498,24.525434,25.302879,2.863312
19:06:39,9.175240,24.768095,36.043788,24.525434,26.811264,2.863312
19:06:40,9.175240,26.302268,37.610301,26.054958,26.811264,4.351617
19:06:41,10.646424,26.302268,36.043788,26.054958,26.811264,2.863312
19:06:42,9.175240,26.302268,36.043788,24.525434,26.811264,4.351617
19:06:43,10.646424,27.840036,39.180831,27.588708,28.323667,5.843728
19:06:44,4.783672,23.238149,32.923229,21.477590,23.798297,-1.578986
19:06:45,7.707861,24.768095,34.481498,24.525434,25.302879,2.863312
19:06:46,10.646424,27.840036,37.610301,27.588708,29.839662,5.843728
19:06:47,10.646424,29.382030,39.180831,27.588708,31.359674,5.843728
19:06:48,9.175240,26.302268,37.610301,24.525434,28.323667,4.351617
19:06:49,6.243864,23.238149,32.923229,22.999504,25.302879,1.378812
19:06:50,9.175240,26.302268,36.043788,24.525434,29.839662,2.863312
19:06:51,9.175240,26.302268,37.610301,26.054958,29.839662,4.351617
19:06:52,7.707861,24.768095,34.481498,24.525434,28.323667,2.863312
19:06:53,6.243864,24.768095,34.481498,22.999504,28.323667,1.378812
19:06:54,7.707861,24.768095,34.481498,22.999504,28.323667,1.378812
19:06:55,10.646424,27.840036,39.180831,27.588708,32.883701,5.843728
19:06:56,9.175240,27.840036,37.610301,26.054958,31.359674,4.351617
19:06:57,7.707861,24.768095,34.481498,22.999504,29.839662,2.863312
19:06:58,9.175240,26.302268,36.043788,24.525434,31.359674,2.863312
19:06:59,7.707861,26.302268,34.481498,22.999504,29.839662,2.863312
19:07:00,7.707861,26.302268,34.481498,24.525434,31.359674,2.863312
19:07:01,7.707861,24.768095,34.481498,22.999504,29.839662,2.863312
19:07:02,7.707861,26.302268,34.481498,22.999504,31.359674,1.378812
19:07:03,7.707861,26.302268,34.481498,24.525434,31.359674,2.863312
19:07:04,7.707861,27.840036,34.481498,24.525434,31.359674,1.378812
19:07:05,9.175240,27.840036,36.043788,24.525434,32.883701,2.863312
19:07:06,9.175240,29.382030,36.043788,26.054958,32.883701,4.351617
19:07:07,10.646424,29.382030,37.610301,26.054958,34.411323,4.351617
