time,yaw,pitch,roll
0.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
03
0-66.75,-1.01,1.63
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
03
0-66.75,-1.01,1.63
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
0-66.75,-1.00,1.62
00.08,0.28,3.79
00.09,0.26,3.79
00.09,0.25,3.76
00.09,0.23,3.74
00.09,0.22,3.71
00.09,0.21,3.69
00.09,0.20,3.67
00.09,0.19,3.64
00.09,0.17,3.62
00.09,0.16,3.60
00.09,0.15,3.57
00.09,0.14,3.55
00.09,0.12,3.52
00.09,0.12,3.50
00.09,0.10,3.48
00.09,0.10,3.46
00.09,0.08,3.43
00.09,0.07,3.41
00.09,0.06,3.39
00.09,0.05,3.36
00.09,0.04,3.34
00.09,0.03,3.32
00.09,0.02,3.30
00.09,0.00,3.28
00.09,-0.01,3.27
00.09,-0.02,3.25
00.09,-0.02,3.22
00.09,-0.04,3.20
00.09,-0.04,3.18
00.09,-0.05,3.16
00.09,-0.07,3.14
00.09,-0.07,3.13
00.09,-0.08,3.11
00.09,-0.09,3.08
00.09,-0.10,3.07
00.09,-0.11,3.05
00.09,-0.12,3.04
00.09,-0.13,3.01
10.09,-0.14,3.00
10.09,-0.14,2.98
10.09,-0.16,2.97
10.10,-0.16,2.95
10.10,-0.17,2.93
10.10,-0.18,2.92
10.10,-0.19,2.90
10.10,-0.20,2.89
10.10,-0.21,2.87
10.10,-0.21,2.85
10.10,-0.22,2.84
10.10,-0.23,2.83
10.10,-0.23,2.81
10.10,-0.24,2.80
10.09,-0.25,2.78
10.09,-0.25,2.76
10.09,-0.26,2.76
10.09,-0.27,2.74
10.09,-0.27,2.73
10.09,-0.27,2.71
10.09,-0.29,2.70
10.09,-0.30,2.69
10.09,-0.30,2.67
10.09,-0.31,2.66
10.09,-0.31,2.64
10.09,-0.32,2.63
10.09,-0.32,2.62
10.09,-0.33,2.60
10.09,-0.34,2.59
10.09,-0.34,2.58
10.09,-0.35,2.57
10.09,-0.36,2.55
10.09,-0.36,2.54
10.09,-0.37,2.53
10.09,-0.37,2.52
10.09,-0.38,2.50
10.09,-0.39,2.49
10.09,-0.39,2.48
10.09,-0.39,2.47
10.09,-0.40,2.46
10.09,-0.41,2.45
10.09,-0.41,2.43
10.09,-0.42,2.43
10.09,-0.43,2.42
10.09,-0.43,2.41
10.09,-0.44,2.40
10.09,-0.44,2.38
10.09,-0.44,2.38
10.09,-0.45,2.37
10.09,-0.45,2.36
10.09,-0.46,2.35
10.09,-0.46,2.34
10.09,-0.47,2.33
10.09,-0.47,2.32
10.09,-0.48,2.31
10.09,-0.48,2.30
10.09,-0.49,2.29
10.09,-0.49,2.29
10.09,-0.50,2.27
10.09,-0.50,2.27
20.09,-0.51,2.26
20.09,-0.51,2.25
20.09,-0.51,2.24
20.09,-0.51,2.23
20.09,-0.52,2.22
20.09,-0.52,2.22
20.09,-0.53,2.21
20.09,-0.53,2.20
20.09,-0.53,2.20
20.09,-0.53,2.18
20.09,-0.54,2.18
20.09,-0.54,2.17
20.09,-0.55,2.16
20.08,-0.55,2.16
20.08,-0.55,2.15
20.08,-0.55,2.15
20.08,-0.56,2.14
20.08,-0.57,2.13
20.08,-0.57,2.13
20.08,-0.57,2.12
20.08,-0.57,2.11
20.08,-0.57,2.10
20.08,-0.58,2.10
20.08,-0.58,2.09
20.08,-0.59,2.08
20.08,-0.60,2.08
20.08,-0.60,2.08
20.08,-0.60,2.07
20.08,-0.60,2.06
20.07,-0.61,2.06
20.07,-0.61,2.05
20.07,-0.61,2.05
20.07,-0.62,2.04
20.07,-0.62,2.04
20.07,-0.62,2.03
20.07,-0.62,2.02
20.07,-0.63,2.02
20.07,-0.63,2.01
20.07,-0.63,2.01
20.07,-0.64,2.00
20.07,-0.64,1.99
20.07,-0.64,1.99
20.07,-0.64,1.99
20.07,-0.64,1.98
20.07,-0.64,1.98
20.07,-0.64,1.97
20.07,-0.65,1.97
20.07,-0.65,1.96
20.07,-0.66,1.96
20.07,-0.66,1.95
20.07,-0.67,1.94
20.07,-0.67,1.94
20.07,-0.67,1.94
20.07,-0.67,1.93
20.07,-0.67,1.93
20.07,-0.67,1.92
20.07,-0.67,1.92
20.07,-0.68,1.92
20.07,-0.68,1.91
20.07,-0.68,1.91
30.07,-0.69,1.90
30.07,-0.69,1.90
30.07,-0.69,1.90
30.07,-0.69,1.90
30.07,-0.69,1.89
30.07,-0.69,1.88
30.07,-0.70,1.88
30.07,-0.70,1.87
30.06,-0.70,1.87
30.06,-0.71,1.87
30.06,-0.71,1.87
30.06,-0.71,1.86
30.06,-0.71,1.86
30.06,-0.71,1.85
30.06,-0.71,1.85
30.06,-0.71,1.85
30.06,-0.71,1.85
30.06,-0.72,1.85
30.06,-0.72,1.84
30.06,-0.72,1.84
30.06,-0.72,1.84
30.06,-0.72,1.83
30.05,-0.73,1.83
30.05,-0.73,1.83
30.05,-0.73,1.83
30.05,-0.73,1.82
30.05,-0.73,1.82
30.05,-0.73,1.81
30.05,-0.73,1.81
30.05,-0.73,1.81
30.05,-0.73,1.80
30.05,-0.73,1.80
30.05,-0.74,1.80
30.05,-0.74,1.79
30.05,-0.74,1.79
30.05,-0.74,1.78
30.05,-0.75,1.78
30.05,-0.75,1.78
30.05,-0.75,1.78
30.05,-0.75,1.78
30.05,-0.75,1.78
30.05,-0.76,1.77
30.05,-0.76,1.77
30.05,-0.76,1.76
30.05,-0.76,1.76
30.05,-0.76,1.76
30.05,-0.76,1.76
30.05,-0.76,1.75
30.05,-0.76,1.75
30.04,-0.76,1.75
30.04,-0.77,1.75
30.04,-0.77,1.74
30.04,-0.77,1.74
30.04,-0.77,1.74
30.04,-0.77,1.74
30.04,-0.77,1.73
30.04,-0.77,1.73
30.04,-0.77,1.73
30.04,-0.77,1.73
30.04,-0.77,1.73
40.04,-0.77,1.73
40.04,-0.78,1.72
40.04,-0.78,1.72
40.04,-0.78,1.72
40.04,-0.78,1.71
40.04,-0.78,1.71
40.04,-0.78,1.71
40.04,-0.78,1.71
40.04,-0.78,1.71
40.03,-0.78,1.71
40.03,-0.78,1.71
40.03,-0.78,1.71
40.03,-0.78,1.70
40.03,-0.78,1.70
40.03,-0.78,1.70
40.03,-0.78,1.70
40.03,-0.78,1.69
40.03,-0.78,1.69
40.03,-0.78,1.69
40.03,-0.79,1.69
40.03,-0.79,1.69
40.03,-0.79,1.69
40.03,-0.79,1.69
40.03,-0.79,1.69
40.03,-0.79,1.68
40.03,-0.79,1.68
40.03,-0.80,1.68
40.03,-0.79,1.67
40.03,-0.79,1.67
40.03,-0.80,1.67
40.03,-0.80,1.67
40.03,-0.80,1.66
40.03,-0.80,1.66
40.03,-0.80,1.66
40.03,-0.80,1.66
40.03,-0.80,1.66
40.03,-0.80,1.66
40.03,-0.80,1.66
40.03,-0.80,1.66
40.02,-0.80,1.66
40.02,-0.80,1.66
40.02,-0.80,1.65
40.02,-0.80,1.65
40.02,-0.80,1.65
40.02,-0.80,1.65
40.02,-0.80,1.64
40.02,-0.80,1.64
40.02,-0.80,1.64
40.02,-0.80,1.64
40.02,-0.80,1.64
40.02,-0.80,1.64
40.02,-0.81,1.64
40.01,-0.81,1.64
40.01,-0.81,1.64
40.01,-0.81,1.64
40.01,-0.81,1.64
40.01,-0.81,1.64
40.01,-0.82,1.64
40.01,-0.82,1.64
40.01,-0.82,1.63
50.01,-0.82,1.63
50.01,-0.82,1.63
50.00,-0.82,1.63
50.00,-0.82,1.63
50.00,-0.82,1.63
50.00,-0.82,1.63
50.00,-0.82,1.63
50.00,-0.82,1.63
50.00,-0.82,1.62
50.00,-0.82,1.62
50.00,-0.82,1.62
50.00,-0.82,1.62
50.00,-0.82,1.62
50.00,-0.82,1.62
50.00,-0.82,1.62
50.00,-0.82,1.62
50.00,-0.82,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.62
50.00,-0.83,1.61
5-0.00,-0.83,1.61
5-0.00,-0.83,1.61
5-0.00,-0.83,1.61
5-0.00,-0.83,1.61
5-0.00,-0.83,1.61
5-0.00,-0.83,1.60
5-0.00,-0.83,1.60
5-0.00,-0.83,1.60
5-0.00,-0.84,1.60
5-0.00,-0.84,1.60
5-0.00,-0.84,1.60
5-0.00,-0.84,1.60
5-0.00,-0.84,1.60
5-0.00,-0.84,1.60
5-0.01,-0.84,1.60
5-0.01,-0.84,1.59
5-0.01,-0.84,1.60
5-0.01,-0.84,1.59
5-0.01,-0.84,1.59
5-0.01,-0.84,1.59
5-0.01,-0.84,1.59
5-0.01,-0.84,1.59
5-0.01,-0.84,1.59
5-0.01,-0.84,1.59
5-0.01,-0.84,1.59
5-0.01,-0.85,1.59
5-0.01,-0.85,1.59
5-0.01,-0.85,1.59
5-0.01,-0.85,1.59
5-0.01,-0.84,1.59
5-0.01,-0.84,1.59
6-0.01,-0.84,1.59
6-0.01,-0.84,1.59
6-0.01,-0.84,1.59
6-0.01,-0.84,1.59
6-0.01,-0.84,1.59
6-0.01,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.84,1.59
6-0.02,-0.85,1.59
6-0.02,-0.85,1.59
6-0.02,-0.85,1.59
6-0.02,-0.85,1.59
6-0.02,-0.85,1.59
6-0.02,-0.84,1.58
6-0.02,-0.85,1.58
6-0.02,-0.85,1.58
6-0.02,-0.85,1.58
6-0.02,-0.85,1.58
6-0.02,-0.85,1.58
6-0.02,-0.85,1.59
6-0.02,-0.85,1.59
6-0.02,-0.85,1.58
6-0.02,-0.85,1.58
6-0.02,-0.85,1.58
6-0.02,-0.85,1.58
6-0.02,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
