time,yaw,pitch,roll
0.00,1.62
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.03,-0.85,1.58
6-0.04,-0.85,1.58
6-0.04,-0.85,1.58
6-0.04,-0.85,1.58
6-0.04,-0.85,1.58
6-0.04,-0.85,1.58
7-0.04,-0.85,1.58
7-0.04,-0.85,1.58
7-0.04,-0.85,1.58
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.04,-0.85,1.57
7-0.05,-0.85,1.57
7-0.05,-0.85,1.57
7-0.05,-0.85,1.57
7-0.05,-0.85,1.57
7-0.05,-0.85,1.57
7-0.05,-0.85,1.57
7-0.05,-0.85,1.57
7-0.05,-0.85,1.57
7-0.05,-0.86,1.57
7-0.05,-0.86,1.57
7-0.05,-0.87,1.57
7-0.05,-0.87,1.57
7-0.05,-0.87,1.57
7-0.05,-0.87,1.57
7-0.06,-0.87,1.57
7-0.06,-0.87,1.57
7-0.06,-0.85,1.57
7-0.07,-0.91,1.58
7-0.09,-0.93,1.60
7-0.11,-0.95,1.63
7-0.09,-0.91,1.62
7-0.08,-0.89,1.60
7-0.07,-0.88,1.60
7-0.06,-0.91,1.62
70.03,-0.92,1.61
70.31,-0.97,1.65
70.51,-1.31,1.75
70.61,-1.76,1.73
70.83,-2.20,1.66
71.25,-2.59,1.54
81.86,-2.95,1.39
82.51,-3.26,1.27
83.08,-3.58,1.10
83.62,-3.91,1.00
83.91,-4.16,0.99
83.97,-4.68,0.83
83.99,-5.39,0.64
84.03,-6.28,0.39
84.23,-7.34,0.21
84.60,-8.35,0.21
84.88,-9.43,0.49
85.10,-10.73,0.65
85.39,-12.02,0.47
85.85,-13.12,0.20
86.64,-13.92,0.22
87.71,-14.27,0.77
88.86,-13.98,1.64
89.91,-13.08,2.33
810.79,-11.67,2.61
811.58,-9.84,2.61
812.21,-7.66,2.50
812.56,-5.25,2.21
812.70,-2.85,1.72
812.70,-0.65,1.16
812.62,1.23,0.76
812.43,2.74,0.59
812.08,3.91,0.63
811.67,4.86,0.83
811.34,5.62,1.00
811.15,6.29,1.00
811.11,7.01,0.97
811.14,7.87,1.07
811.21,8.81,1.29
811.26,9.80,1.60
811.31,10.85,2.05
811.45,11.86,2.64
811.56,12.78,3.42
811.45,13.69,4.42
811.25,14.62,5.48
811.31,15.63,6.35
811.79,16.76,7.07
812.58,17.81,7.81
813.25,18.57,8.44
813.69,19.13,8.90
813.87,19.71,9.51
813.52,20.38,10.51
812.81,21.10,11.66
812.06,21.82,12.49
811.38,22.62,12.92
810.82,23.57,13.20
810.49,24.68,13.35
810.53,25.84,13.33
810.87,27.03,13.27
811.23,28.33,13.32
811.48,29.71,13.46
811.66,31.05,13.52
811.69,32.34,13.54
811.54,33.53,13.63
811.34,34.61,13.79
811.16,35.70,13.92
911.15,36.91,13.90
911.44,38.19,13.66
911.96,39.48,13.35
912.39,40.87,13.14
912.56,42.43,13.03
912.90,44.16,12.86
913.65,45.95,12.49
914.51,47.63,12.02
915.33,49.14,11.51
916.38,50.60,10.94
917.58,52.08,10.40
918.55,53.55,9.96
919.38,55.00,9.54
920.62,56.49,9.03
922.40,57.95,8.46
924.25,59.37,7.96
925.95,60.86,7.62
927.48,62.28,7.52
929.02,63.47,7.56
930.80,64.45,7.59
932.70,65.32,7.59
934.38,66.17,7.51
935.74,67.16,7.32
937.33,68.30,7.12
939.80,69.45,7.04
943.22,70.57,7.06
946.96,71.62,7.21
949.90,72.45,7.49
951.69,73.11,7.73
952.92,73.70,7.67
953.48,74.08,7.43
953.22,74.31,7.08
952.29,74.51,6.60
950.74,74.64,6.02
948.83,74.69,5.41
947.03,74.74,4.93
946.03,74.78,4.58
945.86,74.88,4.16
945.82,75.21,3.56
945.89,75.71,2.85
946.45,76.31,2.08
947.46,76.86,1.31
