time,yaw,pitch,roll
13:24:48,InéInitializing I2C d
13:24:48,vic
13:24:48,s...
T
13:24:48,sting d
13:24:48,vic
13:24:48, conn
13:24:48,ctions...
MPU6050 conn
13:24:48,ction succ
13:24:48,ssful

S
13:24:48,nd any charact
13:24:49,r to b
13:24:49,gin DMP programming and d
13:24:49,mo: 
Initializing DMP...
Enabling DMP...
Enabling int
13:24:49,rrupt d
13:24:50,0.12,-3.26,-0.56
13:24:50,0.12,-3.27,-0.58
13:24:50,0.12,-3.27,-0.59
13:24:50,0.12,-3.28,-0.61
13:24:50,0.12,-3.28,-0.62
13:24:50,0.11,-3.29,-0.63
13:24:50,0.11,-3.29,-0.65
13:24:50,0.11,-3.30,-0.66
13:24:50,0.11,-3.31,-0.68
13:24:50,0.11,-3.31,-0.69
13:24:50,0.11,-3.32,-0.70
13:24:50,0.11,-3.33,-0.71
13:24:50,0.11,-3.34,-0.72
13:24:50,0.11,-3.34,-0.74
13:24:50,0.11,-3.35,-0.75
13:24:50,0.11,-3.36,-0.77
13:24:50,0.11,-3.36,-0.77
13:24:50,0.11,-3.37,-0.79
13:24:50,0.11,-3.38,-0.80
13:24:50,0.11,-3.38,-0.81
13:24:50,0.11,-3.39,-0.82
13:24:50,0.11,-3.39,-0.84
13:24:50,0.11,-3.40,-0.84
13:24:50,0.11,-3.41,-0.86
13:24:50,0.11,-3.41,-0.87
13:24:50,0.10,-3.41,-0.88
13:24:50,0.10,-3.42,-0.89
13:24:50,0.10,-3.43,-0.90
13:24:50,0.10,-3.43,-0.91
13:24:50,0.10,-3.43,-0.92
13:24:50,0.10,-3.44,-0.93
13:24:50,0.10,-3.45,-0.93
13:24:50,0.10,-3.45,-0.95
13:24:50,0.10,-3.45,-0.95
13:24:50,0.10,-3.46,-0.97
13:24:50,0.10,-3.47,-0.98
13:24:50,0.10,-3.47,-0.98
13:24:50,0.10,-3.48,-1.00
13:24:50,0.10,-3.48,-1.00
13:24:50,0.10,-3.48,-1.02
13:24:50,0.09,-3.48,-1.02
13:24:50,0.09,-3.49,-1.03
13:24:50,0.09,-3.50,-1.04
13:24:50,0.09,-3.50,-1.05
13:24:50,0.09,-3.50,-1.06
13:24:50,0.09,-3.51,-1.07
13:24:50,0.09,-3.51,-1.07
13:24:50,0.09,-3.52,-1.09
13:24:50,0.09,-3.52,-1.09
13:24:50,0.09,-3.52,-1.10
13:24:50,0.09,-3.52,-1.11
13:24:50,0.08,-3.52,-1.12
13:24:50,0.08,-3.53,-1.13
13:24:50,0.08,-3.53,-1.14
13:24:50,0.08,-3.54,-1.14
13:24:50,0.08,-3.54,-1.15
13:24:51,0.08,-3.55,-1.16
13:24:51,0.08,-3.55,-1.16
13:24:51,0.08,-3.55,-1.17
13:24:51,0.08,-3.56,-1.18
13:24:51,0.08,-3.56,-1.19
13:24:51,0.08,-3.57,-1.19
13:24:51,0.08,-3.57,-1.20
13:24:51,0.08,-3.57,-1.21
13:24:51,0.08,-3.57,-1.21
13:24:51,0.08,-3.57,-1.22
13:24:51,0.08,-3.58,-1.23
13:24:51,0.08,-3.59,-1.23
13:24:51,0.08,-3.59,-1.24
13:24:51,0.08,-3.59,-1.25
13:24:51,0.08,-3.59,-1.26
13:24:51,0.08,-3.60,-1.26
13:24:51,0.08,-3.60,-1.27
13:24:51,0.08,-3.61,-1.28
13:24:51,0.08,-3.61,-1.28
13:24:51,0.08,-3.62,-1.29
13:24:51,0.08,-3.62,-1.30
13:24:51,0.08,-3.62,-1.30
13:24:51,0.08,-3.62,-1.30
13:24:51,0.08,-3.63,-1.31
13:24:51,0.08,-3.63,-1.32
13:24:51,0.08,-3.63,-1.33
13:24:51,0.08,-3.64,-1.33
13:24:51,0.08,-3.64,-1.34
13:24:51,0.08,-3.64,-1.35
13:24:51,0.08,-3.64,-1.35
13:24:51,0.08,-3.64,-1.35
13:24:51,0.08,-3.64,-1.36
13:24:51,0.08,-3.65,-1.37
13:24:51,0.08,-3.65,-1.37
13:24:51,0.08,-3.65,-1.37
13:24:51,0.08,-3.65,-1.38
13:24:51,0.07,-3.66,-1.39
13:24:51,0.07,-3.66,-1.39
13:24:51,0.07,-3.66,-1.39
13:24:51,0.07,-3.66,-1.40
13:24:51,0.07,-3.66,-1.41
13:24:51,0.07,-3.67,-1.42
13:24:51,0.07,-3.67,-1.42
13:24:51,0.07,-3.67,-1.42
13:24:51,0.07,-3.67,-1.42
13:24:51,0.07,-3.68,-1.43
13:24:51,0.07,-3.68,-1.44
13:24:51,0.07,-3.68,-1.44
13:24:51,0.07,-3.68,-1.44
13:24:51,0.07,-3.68,-1.44
13:24:51,0.07,-3.69,-1.45
13:24:51,0.07,-3.69,-1.45
13:24:51,0.07,-3.69,-1.45
13:24:51,0.07,-3.69,-1.46
13:24:51,0.07,-3.70,-1.46
13:24:51,0.06,-3.70,-1.46
13:24:51,0.06,-3.70,-1.47
13:24:51,0.06,-3.70,-1.47
13:24:51,0.06,-3.71,-1.47
13:24:51,0.06,-3.71,-1.48
13:24:52,0.06,-3.71,-1.49
13:24:52,0.06,-3.71,-1.49
13:24:52,0.06,-3.71,-1.49
13:24:52,0.06,-3.71,-1.49
13:24:52,0.06,-3.71,-1.50
13:24:52,0.06,-3.71,-1.51
13:24:52,0.06,-3.72,-1.51
13:24:52,0.06,-3.72,-1.51
13:24:52,0.06,-3.72,-1.51
13:24:52,0.06,-3.72,-1.51
13:24:52,0.06,-3.73,-1.52
13:24:52,0.06,-3.73,-1.52
13:24:52,0.05,-3.73,-1.53
13:24:52,0.05,-3.73,-1.53
13:24:52,0.05,-3.73,-1.53
13:24:52,0.05,-3.73,-1.53
13:24:52,0.05,-3.73,-1.54
13:24:52,0.05,-3.74,-1.54
13:24:52,0.05,-3.74,-1.54
13:24:52,0.05,-3.74,-1.55
13:24:52,0.05,-3.74,-1.55
13:24:52,0.05,-3.75,-1.56
13:24:52,0.05,-3.75,-1.56
13:24:52,0.05,-3.75,-1.56
13:24:52,0.04,-3.75,-1.56
13:24:52,0.04,-3.75,-1.57
