time,yaw,pitch,roll
9.35,1.40
12-2.94,46.39,2.58
12-2.75,46.46,2.44
13-2.65,46.45,2.37
13-2.63,46.44,2.44
13-2.51,46.39,2.46
13-2.35,46.29,2.44
13-2.33,46.15,2.50
13-2.30,45.93,2.60
13-2.21,45.62,2.64
13-2.15,45.34,2.64
13-2.09,45.16,2.59
13-2.00,45.08,2.52
13-1.91,45.11,2.46
13-1.78,45.24,2.36
13-1.65,45.46,2.22
13-1.54,45.70,2.07
13-1.45,45.94,1.94
13-1.34,46.15,1.82
13-1.21,46.31,1.74
13-1.06,46.41,1.69
13-0.91,46.44,1.68
13-0.74,46.41,1.67
13-0.58,46.32,1.68
13-0.44,46.18,1.71
13-0.32,45.99,1.72
13-0.26,45.79,1.72
13-0.22,45.64,1.67
13-0.17,45.54,1.57
13-0.09,45.50,1.44
130.00,45.55,1.31
130.09,45.67,1.18
130.20,45.79,1.04
130.28,45.92,0.88
130.35,46.03,0.75
130.42,46.13,0.63
130.51,46.20,0.57
130.61,46.26,0.54
130.70,46.29,0.54
130.78,46.32,0.54
130.82,46.34,0.53
130.83,46.38,0.52
130.87,46.42,0.51
130.94,46.45,0.47
130.92,46.48,0.47
130.93,46.52,0.48
131.00,46.54,0.46
131.04,46.56,0.44
131.05,46.59,0.45
131.07,46.60,0.45
131.07,46.60,0.45
131.07,46.60,0.45
131.04,46.58,0.48
131.02,46.56,0.50
130.99,46.52,0.53
130.95,46.49,0.56
130.93,46.45,0.59
130.89,46.42,0.61
130.85,46.40,0.62
130.79,46.38,0.65
130.72,46.38,0.66
130.66,46.37,0.66
130.60,46.38,0.65
140.53,46.38,0.65
140.46,46.38,0.66
140.38,46.38,0.68
140.32,46.37,0.72
140.26,46.35,0.75
140.22,46.33,0.78
140.18,46.30,0.81
140.15,46.27,0.83
140.13,46.26,0.86
140.09,46.23,0.90
140.06,46.16,0.96
14-0.01,46.09,1.02
14-0.10,46.07,1.05
14-0.13,46.09,1.06
14-0.17,46.14,1.07
14-0.22,46.22,1.11
14-0.25,46.32,1.14
14-0.27,46.42,1.14
14-0.30,46.51,1.13
14-0.37,46.57,1.13
14-0.43,46.63,1.14
14-0.46,46.60,1.16
14-0.50,46.57,1.22
14-0.50,46.57,1.28
14-0.44,46.59,1.32
14-0.39,46.59,1.38
14-0.36,46.58,1.48
14-0.32,46.56,1.57
14-0.23,46.52,1.63
14-0.14,46.45,1.69
14-0.06,46.37,1.76
14-0.07,46.28,1.85
14-0.12,46.15,1.93
14-0.22,46.00,1.98
14-0.30,45.86,1.98
14-0.39,45.73,1.98
14-0.47,45.63,1.96
14-0.53,45.58,1.89
14-0.60,45.58,1.80
14-0.68,45.63,1.71
14-0.76,45.69,1.64
14-0.83,45.78,1.55
14-0.86,45.85,1.49
14-0.86,45.90,1.45
14-0.84,45.91,1.45
14-0.83,45.88,1.49
14-0.81,45.80,1.55
14-0.79,45.69,1.63
14-0.74,45.55,1.69
14-0.67,45.43,1.74
14-0.63,45.34,1.79
14-0.64,45.28,1.86
14-0.63,45.25,1.90
14-0.62,45.27,1.90
14-0.61,45.33,1.90
14-0.59,45.39,1.87
14-0.56,45.45,1.84
14-0.57,45.53,1.80
14-0.56,45.60,1.77
14-0.52,45.65,1.74
15-0.50,45.68,1.71
15-0.49,45.69,1.69
15-0.46,45.67,1.68
15-0.42,45.65,1.67
15-0.37,45.65,1.68
15-0.31,45.64,1.68
15-0.26,45.67,1.71
15-0.22,45.71,1.73
15-0.18,45.76,1.73
15-0.19,45.83,1.74
15-0.25,45.92,1.78
15-0.32,46.04,1.79
15-0.42,46.19,1.78
15-0.55,46.40,1.77
15-0.72,46.66,1.78
15-0.84,46.99,1.77
15-0.85,47.38,1.69
15-0.81,47.84,1.55
15-0.85,48.33,1.43
15-1.06,48.86,1.37
15-1.34,49.39,1.31
15-1.61,49.95,1.19
15-1.88,50.58,0.99
15-2.15,51.30,0.73
15-2.40,52.11,0.49
15-2.71,52.99,0.30
15-3.03,53.96,0.22
15-3.42,54.95,0.22
15-3.96,55.83,0.20
15-4.68,56.54,0.07
15-5.37,57.20,-0.28
15-5.68,57.92,-0.86
15-5.62,58.74,-1.54
15-5.60,59.61,-2.15
15-5.45,60.47,-2.63
15-5.04,61.27,-3.16
15-4.52,62.09,-3.80
15-4.19,62.91,-4.50
15-4.10,63.79,-5.08
15-3.98,64.71,-5.58
15-3.44,65.63,-5.99
15-2.78,66.43,-6.32
15-2.27,67.12,-6.49
15-1.86,67.75,-6.54
15-1.10,68.32,-6.51
150.11,68.85,-6.45
151.49,69.30,-6.29
152.78,69.71,-5.97
154.09,70.06,-5.52
155.13,70.42,-4.97
155.64,70.81,-4.34
155.94,71.24,-3.66
156.67,71.74,-2.94
158.16,72.33,-2.23
1510.26,73.00,-1.57
1512.21,73.73,-0.93
1513.78,74.46,-0.23
1515.44,75.17,0.48
1517.92,75.85,1.14
1521.27,76.50,1.66
1625.02,77.13,2.04
1628.73,77.74,2.35
1632.15,78.28,2.63
1635.32,78.67,2.87
1638.57,78.91,2.97
1642.10,79.06,2.91
1645.45,79.17,2.71
1648.13,79.30,2.41
1650.16,79.42,2.09
1651.89,79.55,1.81
1653.26,79.70,1.57
1654.52,79.94,1.37
1655.92,80.25,1.22
1657.37,80.63,1.10
1659.14,81.05,0.98
1661.33,81.52,0.75
1663.58,82.02,0.41
1665.34,82.54,0.05
1666.84,83.09,-0.25
1668.13,83.56,-0.49
1668.82,83.80,-0.63
1668.75,83.82,-0.66
1668.35,83.71,-0.59
1667.76,83.53,-0.53
1667.09,83.32,-0.52
1666.35,83.11,-0.61
1665.45,82.87,-0.78
1664.57,82.64,-0.98
1664.05,82.50,-1.19
1663.84,82.43,-1.38
1663.70,82.40,-1.56
1663.70,82.42,-1.71
1664.02,82.49,-1.86
1664.56,82.57,-2.03
1665.20,82.66,-2.21
1665.91,82.73,-2.44
1666.76,82.85,-2.66
1667.67,82.97,-2.88
1668.48,83.05,-3.05
1669.14,83.10,-3.20
1669.72,83.18,-3.31
1670.23,83.28,-3.38
1670.53,83.36,-3.43
1670.60,83.35,-3.50
1670.39,83.25,-3.55
1669.95,83.10,-3.55
1669.39,82.96,-3.46
1668.79,82.80,-3.28
1668.27,82.65,-3.04
1667.84,82.51,-2.77
1667.54,82.39,-2.52
1667.26,82.26,-2.31
1666.97,82.15,-2.13
1666.77,82.06,-2.01
1666.54,81.96,-1.95
1666.33,81.88,-1.93
1666.18,81.83,-1.93
1666.13,81.82,-1.97
1666.18,81.82,-2.04
1666.15,81.81,-2.14
1766.10,81.79,-2.26
1766.04,81.77,-2.38
1765.88,81.73,-2.49
1765.76,81.72,-2.58
1765.75,81.72,-2.66
1765.80,81.74,-2.74
1765.84,81.74,-2.80
1765.82,81.73,-2.85
1765.77,81.72,-2.88
1765.71,81.69,-2.88
1765.56,81.64,-2.86
1765.46,81.60,-2.81
1765.44,81.58,-2.73
1765.40,81.56,-2.64
1765.36,81.52,-2.55
1765.30,81.47,-2.49
1765.15,81.40,-2.45
1764.98,81.32,-2.40
1764.82,81.26,-2.36
1764.62,81.18,-2.31
1764.45,81.11,-2.27
1764.36,81.07,-2.26
1764.40,81.08,-2.28
1764.49,81.10,-2.29
1764.56,81.14,-2.30
1764.62,81.18,-2.30
1764.67,81.20,-2.30
1764.67,81.21,-2.28
1764.62,81.19,-2.24
1764.49,81.16,-2.17
1764.38,81.11,-2.10
1764.34,81.08,-2.05
1764.38,81.08,-2.00
1764.53,81.13,-1.93
1764.74,81.19,-1.87
1764.96,81.24,-1.83
1765.09,81.27,-1.82
1765.13,81.28,-1.81
1765.14,81.28,-1.80
1765.13,81.26,-1.80
1764.98,81.20,-1.80
1764.81,81.12,-1.77
1764.69,81.08,-1.74
1764.69,81.06,-1.70
1764.76,81.07,-1.66
1764.84,81.09,-1.64
1764.94,81.11,-1.65
1765.03,81.14,-1.66
1765.06,81.16,-1.69
1765.00,81.15,-1.73
1764.93,81.13,-1.75
1764.82,81.09,-1.77
1764.69,81.03,-1.79
1764.56,80.98,-1.79
1764.38,80.93,-1.78
1764.25,80.89,-1.76
1764.25,80.89,-1.73
1764.31,80.92,-1.71
1764.39,80.95,-1.69
1764.48,80.98,-1.68
1864.64,81.05,-1.67
1864.79,81.10,-1.68
1864.92,81.14,-1.71
1864.94,81.15,-1.75
1864.90,81.13,-1.81
1864.80,81.09,-1.86
1864.59,81.02,-1.90
1864.38,80.96,-1.92
1864.27,80.91,-1.91
1864.21,80.88,-1.90
1864.19,80.87,-1.90
1864.23,80.88,-1.89
1864.33,80.90,-1.88
1864.40,80.92,-1.88
1864.46,80.94,-1.86
1864.52,80.96,-1.85
1864.61,80.99,-1.83
1864.69,81.01,-1.83
1864.72,81.02,-1.82
1864.70,81.01,-1.82
1864.65,80.99,-1.80
1864.54,80.95,-1.79
1864.40,80.90,-1.79
1864.29,80.86,-1.79
1864.13,80.79,-1.80
1863.94,80.72,-1.81
1863.71,80.64,-1.81
1863.49,80.56,-1.80
1863.28,80.48,-1.78
1863.10,80.41,-1.74
1862.97,80.36,-1.71
1862.89,80.32,-1.66
1862.89,80.31,-1.62
1862.98,80.33,-1.57
1863.15,80.37,-1.51
1863.33,80.42,-1.48
1863.46,80.46,-1.47
1863.49,80.47,-1.47
1863.46,80.46,-1.48
1863.39,80.44,-1.49
1863.35,80.43,-1.50
1863.28,80.41,-1.53
1863.16,80.37,-1.55
1863.07,80.34,-1.57
1863.02,80.31,-1.58
1862.98,80.30,-1.58
1862.99,80.32,-1.59
1863.04,80.34,-1.62
1863.10,80.36,-1.67
1863.14,80.37,-1.70
1863.20,80.40,-1.73
1863.27,80.43,-1.77
1863.30,80.45,-1.81
1863.30,80.47,-1.85
1863.30,80.47,-1.90
1863.32,80.48,-1.93
1863.38,80.50,-1.95
1863.45,80.51,-1.95
1863.44,80.51,-1.93
1863.42,80.49,-1.90
1963.47,80.49,-1.86
1963.53,80.50,-1.81
1963.58,80.51,-1.76
1963.61,80.52,-1.69
1963.70,80.52,-1.61
1963.75,80.52,-1.55
1963.74,80.49,-1.49
1963.70,80.46,-1.46
1963.59,80.40,-1.42
1963.47,80.35,-1.39
1963.41,80.30,-1.35
1963.34,80.25,-1.32
1963.25,80.20,-1.30
1963.24,80.19,-1.29
1963.37,80.18,-1.27
1963.35,80.17,-1.27
1963.32,80.18,-1.24
1963.40,80.20,-1.22
1963.49,80.21,-1.23
1963.57,80.24,-1.24
1963.60,80.26,-1.24
1963.62,80.27,-1.25
1963.60,80.27,-1.26
1963.62,80.27,-1.27
1963.60,80.26,-1.29
1963.52,80.22,-1.33
1963.38,80.19,-1.36
1963.29,80.16,-1.38
1963.28,80.14,-1.39
1963.30,80.14,-1.39
1963.32,80.15,-1.40
1963.35,80.16,-1.42
1963.42,80.17,-1.43
1963.44,80.17,-1.42
1963.45,80.17,-1.39
1963.46,80.16,-1.35
1963.46,80.13,-1.32
1963.43,80.12,-1.28
1963.40,80.11,-1.25
1963.41,80.11,-1.24
1963.46,80.11,-1.23
1963.51,80.12,-1.23
1963.58,80.14,-1.24
1963.63,80.12,-1.24
1963.53,79.96,-1.19
1963.63,79.74,-1.12
1964.08,79.63,-1.15
1964.74,79.76,-1.30
1965.55,80.11,-1.63
1966.34,80.55,-2.24
1967.06,80.95,-3.14
1967.62,81.17,-4.25
1968.05,81.12,-5.42
1968.30,80.83,-6.53
1968.21,80.38,-7.50
1967.78,79.89,-8.29
1967.03,79.41,-8.91
1965.72,78.88,-9.44
1964.02,78.37,-9.80
1962.22,78.06,-9.77
2060.74,77.99,-9.38
2059.64,78.13,-8.61
2058.85,78.48,-7.38
2058.38,78.91,-5.67
2058.28,79.18,-3.56
2058.45,78.93,-1.11
2059.06,77.96,1.77
2060.00,76.36,4.75
2060.98,74.48,7.52
2062.30,72.51,10.17
2063.71,70.54,12.79
2065.38,68.67,15.32
2067.45,67.04,17.55
2069.85,65.66,19.39
2072.37,64.59,20.80
2074.70,63.93,21.77
2076.80,63.68,22.42
2078.56,63.82,22.70
2079.84,64.25,22.57
2080.53,64.92,22.11
2080.92,65.76,21.45
2081.17,66.75,20.59
2081.33,67.91,19.55
2081.37,69.22,18.33
2081.21,70.69,16.92
2080.78,72.29,15.33
2080.06,73.96,13.63
